2-BTP,CF3Br,CH4,N2,O2,P(atm),Su(cm/s),T,T(K),True_Su(m/s),agent,agent_volume_frac,index,mech,percent_error,phi
0.020000000000000004,,0.048902195608782444,0.7354890219560879,0.19560878243512977,1,2.679553861728525,1962.4718855080896,300,0.028529761943917233,BTP,0.02,57,/scratch/westgroup/chlorination/git_hub/halogen-data/cantera/2-BTP/literature_mech/2-BTP_kinetics.cti,6.522400545452746,0.5
,0.01,0.07229795520934762,0.7249074975657253,0.19279454722492695,1,3.6036893239072407,1899.6403190852636,300,0.0373807126731898,CF3BR,0.01,40,/scratch/westgroup/chlorination/git_hub/halogen-data/cantera/2-BTP/literature_mech/2-BTP_kinetics.cti,3.7777292083645175,0.75
,0.020000000000000004,0.1137418755803157,0.6842711234911792,0.18198700092850512,1,4.916987996866444,2050.991512662409,300,0.05210119275645172,CF3BR,0.02,64,/scratch/westgroup/chlorination/git_hub/halogen-data/cantera/2-BTP/literature_mech/2-BTP_kinetics.cti,6.002501339346354,1.25
0.007500000000000001,,0.07248052580331062,0.7267380720545277,0.19328140214216163,1,6.090343666764672,2068.7586067990983,300,0.06315849200844237,BTP,0.0075,29,/scratch/westgroup/chlorination/git_hub/halogen-data/cantera/2-BTP/literature_mech/2-BTP_kinetics.cti,3.8602994687253536,0.75
,0.015000000000000001,0.09363117870722433,0.704106463878327,0.18726235741444866,1,5.491760907506356,2192.5978073129636,300,0.057520595804077035,CF3BR,0.015,52,/scratch/westgroup/chlorination/git_hub/halogen-data/cantera/2-BTP/literature_mech/2-BTP_kinetics.cti,4.92189059426478,1
,0.005,0.07266309639727363,0.7285686465433301,0.19376825705939632,1,6.72213565297427,1901.6327439670083,300,0.07092712389668104,CF3BR,0.005,20,/scratch/westgroup/chlorination/git_hub/halogen-data/cantera/2-BTP/literature_mech/2-BTP_kinetics.cti,5.542082872861992,0.75
,0.010000000000000002,0.1149025069637883,0.6912534818941505,0.18384401114206128,1,7.8209835525708025,2073.6680545676345,300,0.0831780253184508,CF3BR,0.01,44,/scratch/westgroup/chlorination/git_hub/halogen-data/cantera/2-BTP/literature_mech/2-BTP_kinetics.cti,6.087886865601904,1.25
,0.024999999999999998,0.07120253164556961,0.7139240506329113,0.18987341772151897,1,2.0366471973585694,1881.049256705541,300,0.021453097142357835,CF3BR,0.025,70,/scratch/westgroup/chlorination/git_hub/halogen-data/cantera/2-BTP/literature_mech/2-BTP_kinetics.cti,5.305308297600461,0.75
0.024999999999999994,,0.11316155988857939,0.6807799442896936,0.181058495821727,1,2.8642983623140026,1841.4001430344324,300,0.03054047154424938,BTP,0.025,73,/scratch/westgroup/chlorination/git_hub/halogen-data/cantera/2-BTP/literature_mech/2-BTP_kinetics.cti,6.750308007118448,1.25
0.01,,0.1149025069637883,0.6912534818941503,0.18384401114206128,1,6.565018032275663,1990.7785950444852,300,0.07032156569051624,BTP,0.01,43,/scratch/westgroup/chlorination/git_hub/halogen-data/cantera/2-BTP/literature_mech/2-BTP_kinetics.cti,7.030107947284485,1.25
,0.007499999999999999,0.04952594810379242,0.7448702594810379,0.19810379241516968,1,0.3973945381168301,1476.2802255734903,300,0.004154759342552737,CF3BR,0.0075,28,/scratch/westgroup/chlorination/git_hub/halogen-data/cantera/2-BTP/literature_mech/2-BTP_kinetics.cti,4.624458575643586,0.5
0.02,,0.07156767283349562,0.717585199610516,0.19084712755598832,1,4.963501885816714,2221.445306904043,300,0.0516528152298769,BTP,0.02,59,/scratch/westgroup/chlorination/git_hub/halogen-data/cantera/2-BTP/literature_mech/2-BTP_kinetics.cti,4.013121014859464,0.75
0.025,,0.024948822927328557,0.7504605936540428,0.19959058341862845,1,0.7009796460683678,1670.7465884456642,300,0.00756349924043659,BTP,0.025,65,/scratch/westgroup/chlorination/git_hub/halogen-data/cantera/2-BTP/literature_mech/2-BTP_kinetics.cti,8.156040268471457,0.25
,,0.0499001996007984,0.7504990019960079,0.1996007984031936,1,4.150955538218356,1475.894457208185,300,0.046986334142906296,CF3BR,0,1,/scratch/westgroup/chlorination/git_hub/halogen-data/cantera/2-BTP/literature_mech/2-BTP_kinetics.cti,12.024217146778275,0.5
